Time [s],Channel 3
5.158185792,0
5.158212375,1
5.158310625,0
5.158414500,1
5.158533375,0
5.158608625,1
5.158706750,0
5.158808542,1
5.158906833,0
5.159008625,1
5.159106542,0
5.159208708,1
5.159306917,0
5.159408708,1
5.159507000,0
5.159608833,1
5.159707042,0
5.159808792,1
5.159907125,0
5.160008875,1
5.160107125,0
5.160208958,1
5.160307208,0
5.160408958,1
5.160507250,0
5.160609042,1
5.160707292,0
5.160809083,1
5.160907333,0
5.161009167,1
5.161107417,0
5.161209250,1
5.161307458,0
5.161409292,1
5.161507542,0
5.161609292,1
5.161708208,0
5.161810083,1
5.161908333,0
5.162010083,1
5.162109042,0
5.162210833,1
5.162309125,0
5.162410875,1
5.162515208,0
5.162611750,1
5.162710042,0
5.162811833,1
5.162909917,0
5.163011750,1
5.163110042,0
5.163211792,1
5.163310125,0
5.163411875,1
5.163510167,0
5.163611958,1
5.163710208,0
5.163811917,1
5.163910250,0
5.164012042,1
5.164110292,0
5.164212125,1
5.164310375,0
5.164412167,1
5.164510458,0
5.164612167,1
5.164710500,0
5.164812250,1
5.164910542,0
5.165012292,1
5.165110583,0
5.165212333,1
5.165310625,0
5.165412417,1
5.165510708,0
5.165612542,1
5.165710750,0
5.165812500,1
5.165910792,0
5.166012625,1
5.166110833,0
5.166212667,1
5.166310917,0
5.166412750,1
5.166510958,0
5.166612792,1
5.166711000,0
5.166812792,1
5.166915917,0
5.167013625,1
5.167111875,0
5.167213625,1
5.167325667,0
5.167414417,1
5.167512667,0
5.167614417,1
5.167712750,0
5.167814417,1
5.167912667,0
5.168014500,1
5.168112750,0
5.168214542,1
5.168312792,0
5.168414583,1
5.168512875,0
5.168614667,1
5.168712917,0
5.168814625,1
5.168912958,0
5.169014750,1
5.169113000,0
5.169214792,1
5.169313042,0
5.169414833,1
5.169513125,0
5.169614917,1
5.169713167,0
5.169814958,1
5.169913208,0
5.170015042,1
5.170113292,0
5.170215083,1
5.170313333,0
5.170415125,1
5.170513417,0
5.170615167,1
5.170713417,0
5.170815208,1
5.170913500,0
5.171015292,1
5.171113542,0
5.171215333,1
5.171313583,0
5.171415333,1
5.171513667,0
5.171615458,1
5.171713708,0
5.171815500,1
5.171913750,0
5.172015542,1
5.172113792,0
5.172215625,1
5.172313875,0
5.172415667,1
5.172513958,0
5.172615708,1
5.172713958,0
5.172815750,1
5.172914042,0
5.173015750,1
5.173114083,0
5.173215833,1
5.173314167,0
5.173415875,1
5.173514208,0
5.173615833,1
5.173714250,0
5.173816042,1
5.173914292,0
5.174016083,1
5.174114333,0
5.174215792,1
5.174215833,0
5.174216167,1
5.174314417,0
5.174416208,1
5.174514458,0
5.174616250,1
5.174714500,0
5.174816292,1
5.174914542,0
5.175016375,1
5.175114625,0
5.175216417,1
5.175314708,0
5.175416458,1
5.175514750,0
5.175616542,1
5.175714792,0
5.175816583,1
5.175914833,0
5.176016625,1
5.176114875,0
5.176216667,1
5.176314958,0
5.176416750,1
5.176515000,0
5.176616792,1
5.176715042,0
5.176816792,1
5.176915083,0
5.177016875,1
5.177115167,0
5.177216875,1
5.177315208,0
5.177417000,1
5.177515292,0
5.177617042,1
5.177715375,0
5.177817125,1
5.177915375,0
5.178017167,1
5.178117042,0
5.178218708,1
5.178317417,0
5.178418667,1
5.178516750,0
5.178618833,1
5.178717125,0
5.178818917,1
5.178916292,0
5.179027000,1
5.179124500,0
5.179226375,1
5.179324625,0
5.179426792,1
5.179524583,0
5.179626875,1
5.179726042,0
5.179821625,1
5.179921667,0
5.180017417,1
5.180115833,0
5.180217583,1
5.180315875,0
5.180417667,1
5.180515958,0
5.180617750,1
5.180716000,0
5.180817750,1
5.180916042,0
5.181017833,1
5.181116125,0
5.181217917,1
5.181316125,0
5.181417917,1
5.181516208,0
5.181618000,1
5.181716250,0
5.181818042,1
5.181916292,0
5.182017875,1
5.182017917,0
5.182018042,1
5.182116375,0
5.182218125,1
5.182316417,0
5.182418208,1
5.182516458,0
5.182618250,1
5.182716542,0
5.182818292,1
5.182924458,0
5.183017250,1
5.183115292,0
5.183217083,1
5.183317875,0
5.183417375,1
5.183515708,0
5.183617458,1
5.183715625,0
5.183817500,1
5.183915750,0
5.184017542,1
5.184115833,0
5.184217583,1
5.184315875,0
5.184417667,1
5.184515917,0
5.184617708,1
5.184715958,0
5.184817750,1
5.184916042,0
5.185017875,1
5.185116083,0
5.185217875,1
5.185316125,0
5.185417958,1
5.185516208,0
5.185618000,1
5.185716250,0
5.185818000,1
5.185916292,0
5.186018083,1
5.186116375,0
5.186218125,1
5.186316417,0
5.186418208,1
5.186516458,0
5.186618250,1
5.186716500,0
5.186818042,1
5.186818083,0
5.186818333,1
5.186916583,0
5.187018375,1
5.187116625,0
5.187218417,1
5.187316667,0
5.187418458,1
5.187516708,0
5.187618542,1
5.187716792,0
5.187818583,1
5.187916875,0
5.188018625,1
5.188141542,0
5.188252083,1
5.188350375,0
5.188452167,1
5.188549375,0
5.188657375,1
5.188752167,0
5.188852750,1
5.188852833,0
5.188852875,1
5.188957792,0
5.189054250,1
5.189158583,0
5.189256167,1
5.189354167,0
5.189456167,1
5.189552833,0
5.189659208,1
5.189759250,0
5.189856500,1
5.189954792,0
5.190054917,1
5.190159083,0
5.190256708,1
5.190354792,0
5.190455208,1
5.190455292,0
5.190455333,1
5.190558167,0
5.190660250,1
5.190755000,0
5.190856875,1
5.190954958,0
5.191055167,1
5.191055250,0
5.191055292,1
5.191159375,0
5.191255167,1
5.191255250,0
5.191255292,1
5.191359250,0
5.191456750,1
5.191553500,0
5.191661458,1
5.191737792,0
5.191839667,1
5.191937875,0
5.192038250,1
5.192120042,0
5.192221208,1
5.192319458,0
5.192421292,1
5.192519417,0
5.192621250,1
5.192719500,0
5.192821333,1
5.192919625,0
5.193021375,1
5.193119625,0
5.193221417,1
5.193319667,0
5.193421458,1
5.193519750,0
5.193621542,1
5.193719792,0
5.193821583,1
5.193919833,0
5.194021625,1
5.194119875,0
5.194221667,1
5.194319958,0
5.194421750,1
5.194520000,0
5.194621792,1
5.194720042,0
5.194821833,1
5.194920125,0
5.195021917,1
5.195120167,0
5.195221958,1
5.195320208,0
5.195422000,1
5.195520250,0
5.195622042,1
5.195720333,0
5.195822083,1
5.195920375,0
5.196022208,1
5.196120417,0
5.196222250,1
5.196320500,0
5.196422250,1
5.196520542,0
5.196622333,1
5.196720583,0
5.196822375,1
5.196920625,0
5.197022458,1
5.197120708,0
5.197222500,1
5.197320792,0
5.197422542,1
5.197520792,0
5.197622583,1
5.197720875,0
5.197822667,1
5.197920917,0
5.198022708,1
5.198120958,0
5.198222750,1
5.198321000,0
5.198422875,1
5.198521083,0
5.198622875,1
5.198721125,0
5.198822917,1
5.198921167,0
5.199022958,1
5.199121250,0
5.199223000,1
5.199321292,0
5.199422958,1
5.199521375,0
5.199623125,1
5.199721375,0
5.199823167,1
5.199921458,0
5.200023208,1
5.200121542,0
5.200223292,1
5.200321542,0
5.200423375,1
5.200521625,0
5.200623417,1
5.200721667,0
5.200823375,1
5.200921750,0
5.201023500,1
5.201121792,0
5.201223542,1
5.201321833,0
5.201423542,1
5.201521875,0
5.201623625,1
5.201721958,0
5.201823792,1
5.201922000,0
5.202023792,1
5.202122042,0
5.202223833,1
5.202322083,0
5.202423875,1
5.202522125,0
5.202623917,1
5.202722208,0
5.202823958,1
5.202925917,0
5.203037792,1
5.203136167,0
5.203237250,1
5.203335583,0
5.203437375,1
5.203535625,0
5.203639458,1
5.203730458,0
5.203832375,1
5.203930583,0
5.204034375,1
5.204125542,0
5.204227500,1
5.204325667,0
5.204427417,1
5.204525708,0
5.204627542,1
5.204725750,0
5.204827500,1
5.204925792,0
5.205027583,1
5.205125833,0
5.205227625,1
5.205325917,0
5.205427667,1
5.205525958,0
5.205627792,1
5.205726000,0
5.205827792,1
5.205926042,0
5.206027833,1
5.206126125,0
5.206227708,1
5.206227750,0
5.206227833,1
5.206326167,0
5.206427958,1
5.206526250,0
5.206628042,1
5.206726292,0
5.206828042,1
5.206930417,0
5.207028125,1
5.207143708,0
5.207228167,1
5.207326667,0
5.207428167,1
5.207526833,0
5.207628167,1
5.207723375,0
5.207834125,1
5.207931375,0
5.208033250,1
5.208131958,0
5.208233167,1
5.208331500,0
5.208433667,1
5.208532917,0
5.208628583,1
5.208728500,0
5.208824292,1
5.208922583,0
5.209024333,1
5.209122625,0
5.209224417,1
5.209322667,0
5.209424458,1
5.209522750,0
5.209624500,1
5.209722792,0
5.209824542,1
5.209922875,0
5.210024625,1
5.210122875,0
5.210224667,1
5.210322958,0
5.210424708,1
5.210523000,0
5.210624792,1
5.210723042,0
5.210824833,1
5.210923125,0
5.211024875,1
5.211123167,0
5.211224917,1
5.211323208,0
5.211425042,1
5.211523292,0
5.211625042,1
5.211730500,0
5.211823958,1
5.211922042,0
5.212023875,1
5.212125125,0
5.212224167,1
5.212322500,0
5.212424250,1
5.212528583,0
5.212625167,1
5.212723417,0
5.212825208,1
5.212923292,0
5.213025167,1
5.213123417,0
5.213225208,1
5.213323458,0
5.213425250,1
5.213523542,0
5.213625417,1
5.213723625,0
5.213825375,1
5.213923667,0
5.214025375,1
5.214123708,0
5.214225458,1
5.214323750,0
5.214425542,1
5.214523833,0
5.214625583,1
5.214723875,0
5.214825667,1
5.214923917,0
5.215025708,1
5.215123958,0
5.215225792,1
5.215324000,0
5.215425833,1
5.215524083,0
5.215625875,1
5.215724125,0
5.215825917,1
5.215924208,0
5.216025958,1
5.216124208,0
5.216226083,1
5.216324292,0
5.216426042,1
5.216524375,0
5.216626125,1
5.216724417,0
5.216826167,1
5.216929292,0
5.217027000,1
5.217125250,0
5.217227042,1
5.217339042,0
5.217427792,1
5.217526042,0
5.217627833,1
5.217725958,0
5.217827833,1
5.217926083,0
5.218027833,1
5.218126125,0
5.218227917,1
5.218326167,0
5.218427958,1
5.218526250,0
5.218628000,1
5.218726292,0
5.218828125,1
5.218926333,0
5.219028125,1
5.219126375,0
5.219228167,1
5.219326458,0
5.219428125,1
5.219526500,0
5.219628250,1
5.219726542,0
5.219828375,1
5.219926583,0
5.220028417,1
5.220126667,0
5.220228417,1
5.220326792,0
5.220428500,1
5.220526792,0
5.220628542,1
5.220726833,0
5.220828625,1
5.220926875,0
5.221028667,1
5.221126917,0
5.221228708,1
5.221326958,0
5.221428792,1
5.221527042,0
5.221628833,1
5.221727083,0
5.221828875,1
5.221927125,0
5.222028958,1
5.222127208,0
5.222229000,1
5.222327250,0
5.222429042,1
5.222527333,0
5.222629125,1
5.222727333,0
5.222829000,1
5.222927417,0
5.223029208,1
5.223127458,0
5.223229250,1
5.223327500,0
5.223429417,1
5.223527583,0
5.223629375,1
5.223727625,0
5.223829417,1
5.223927708,0
5.224029458,1
5.224127708,0
5.224229542,1
5.224327792,0
5.224429583,1
5.224527875,0
5.224629250,1
5.224727875,0
5.224829708,1
5.224927958,0
5.225029792,1
5.225128000,0
5.225229792,1
5.225328042,0
5.225429875,1
5.225528125,0
5.225629917,1
5.225728167,0
5.225829958,1
5.225928250,0
5.226030000,1
5.226128250,0
5.226230042,1
5.226328333,0
5.226430125,1
5.226528375,0
5.226630167,1
5.226728417,0
5.226830208,1
5.226928458,0
5.227031458,1
5.227128542,0
5.227230292,1
5.227328583,0
5.227430375,1
5.227528667,0
5.227630417,1
5.227728708,0
5.227830500,1
5.227928750,0
5.228030542,1
5.228130458,0
5.228232042,1
5.228330792,0
5.228432042,1
5.228530125,0
5.228632250,1
5.228730500,0
5.228832333,1
5.228929667,0
5.229040375,1
5.229137875,0
5.229239750,1
5.229338500,0
5.229439667,1
5.229538042,0
5.229639792,1
5.229738542,0
5.229839667,1
5.229938000,0
5.230041333,1
5.230133708,0
5.230237125,1
5.230329167,0
5.230431042,1
5.230529333,0
5.230631042,1
5.230729375,0
5.230831167,1
5.230929417,0
5.231031292,1
5.231129458,0
5.231231292,1
5.231329500,0
5.231431292,1
5.231529583,0
5.231631375,1
5.231729625,0
5.231831333,1
5.231929667,0
5.232031500,1
5.232129750,0
5.232231542,1
5.232329792,0
5.232431542,1
5.232529875,0
5.232631667,1
5.232729917,0
5.232831667,1
5.232938292,0
5.233030625,1
5.233128667,0
5.233230500,1
5.233331250,0
5.233430750,1
5.233529125,0
5.233630875,1
5.233729042,0
5.233830875,1
5.233929167,0
5.234030917,1
5.234129208,0
5.234231000,1
5.234329250,0
5.234431042,1
5.234529333,0
5.234631125,1
5.234729375,0
5.234831208,1
5.234929417,0
5.235031208,1
5.235129458,0
5.235231250,1
5.235329542,0
5.235431333,1
5.235529583,0
5.235631375,1
5.235729625,0
5.235831458,1
5.235929667,0
5.236031458,1
5.236129750,0
5.236231500,1
5.236329792,0
5.236431625,1
5.236529875,0
5.236631625,1
5.236729917,0
5.236831708,1
5.236929958,0
5.237031708,1
5.237130000,0
5.237231792,1
5.237330042,0
5.237431833,1
5.237530125,0
5.237631917,1
5.237730167,0
5.237831917,1
5.237930208,0
5.238032000,1
5.238154917,0
5.238265542,1
5.238363750,0
5.238465625,1
5.238562750,0
5.238670792,1
5.238765542,0
5.238866292,1
5.238866375,0
5.238866417,1
5.238971125,0
5.239067833,1
5.239176542,0
5.239269375,1
5.239367583,0
5.239469375,1
5.239566208,0
5.239672667,1
5.239771458,0
5.239869875,1
5.239970500,0
5.240068292,1
5.240172458,0
5.240269917,1
5.240368167,0
5.240468542,1
5.240571542,0
5.240674875,1
5.240768375,0
5.240870125,1
5.240968750,0
5.241068583,1
5.241172750,0
5.241268458,1
5.241373583,0
5.241470042,1
5.241572667,0
5.241675083,1
5.241751125,0
5.241853000,1
5.241951292,0
5.242051625,1
5.242133417,0
5.242234625,1
5.242332875,0
5.242434625,1
5.242532792,0
5.242634625,1
5.242732917,0
5.242834667,1
5.242932958,0
5.243034750,1
5.243133000,0
5.243234792,1
5.243333083,0
5.243434833,1
5.243533125,0
5.243634917,1
5.243733167,0
5.243834958,1
5.243933208,0
5.244035000,1
5.244133292,0
5.244235042,1
5.244333333,0
5.244435167,1
5.244533417,0
5.244635167,1
5.244733458,0
5.244835250,1
5.244933500,0
5.245035292,1
5.245133542,0
5.245235292,1
5.245333583,0
5.245435417,1
5.245533667,0
5.245635417,1
5.245733708,0
5.245835500,1
5.245933750,0
5.246035583,1
5.246133833,0
5.246235625,1
5.246333875,0
5.246435667,1
5.246533958,0
5.246635708,1
5.246733958,0
5.246835750,1
5.246934042,0
5.247035833,1
5.247134083,0
5.247235875,1
5.247334125,0
5.247435917,1
5.247534208,0
5.247636000,1
5.247734250,0
5.247836000,1
5.247934292,0
5.248036083,1
5.248134333,0
5.248236125,1
5.248334417,0
5.248436167,1
5.248534500,0
5.248636250,1
5.248734500,0
5.248836375,1
5.248934583,0
5.249036375,1
5.249134625,0
5.249236417,1
5.249334667,0
5.249436458,1
5.249534750,0
5.249636500,1
5.249734792,0
5.249836542,1
5.249934833,0
5.250036625,1
5.250134875,0
5.250236667,1
5.250334958,0
5.250436708,1
5.250535000,0
5.250636792,1
5.250735042,0
5.250836708,1
5.250935125,0
5.251036875,1
5.251135167,0
5.251236958,1
5.251335208,0
5.251437000,1
5.251535292,0
5.251637083,1
5.251735333,0
5.251837083,1
5.251935375,0
5.252037167,1
5.252135417,0
5.252237208,1
5.252335458,0
5.252437250,1
5.252535542,0
5.252637292,1
5.252735583,0
5.252837375,1
5.252939292,0
5.253052583,1
5.253150000,0
5.253251833,1
5.253350583,0
5.253451833,1
5.253550125,0
5.253652375,1
5.253751500,0
5.253846042,1
5.253946042,0
5.254040458,1
5.254139000,0
5.254240750,1
5.254339000,0
5.254440833,1
5.254539083,0
5.254640875,1
5.254739125,0
5.254840917,1
5.254939167,0
5.255040875,1
5.255139208,0
5.255241000,1
5.255339292,0
5.255441083,1
5.255539333,0
5.255641125,1
5.255739375,0
5.255841167,1
5.255939458,0
5.256041250,1
5.256139500,0
5.256241292,1
5.256339583,0
5.256441333,1
5.256539583,0
5.256645375,1
5.256739667,0
5.256841458,1
5.256943708,0
5.257041542,1
5.257157083,0
5.257241542,1
5.257340042,0
5.257441542,1
5.257540250,0
5.257641583,1
5.257736750,0
5.257847458,1
5.257944750,0
5.258046583,1
5.258145375,0
5.258246542,1
5.258345333,0
5.258448125,1
5.258540208,0
5.258642083,1
5.258747667,0
5.258843500,1
5.258944333,0
5.259037750,1
5.259136000,0
5.259237792,1
5.259336042,0
5.259437875,1
5.259536125,0
5.259637917,1
5.259736167,0
5.259837917,1
5.259945500,0
5.260038042,1
5.260136250,0
5.260238083,1
5.260336333,0
5.260438125,1
5.260536417,0
5.260638167,1
5.260736458,0
5.260838250,1
5.260941583,0
5.261038292,1
5.261144417,0
5.261238292,1
5.261336583,0
5.261438417,1
5.261536667,0
5.261638417,1
5.261744292,0
5.261837417,1
5.261935417,0
5.262037208,1
5.262137667,0
5.262237542,1
5.262335875,0
5.262437667,1
5.262541958,0
5.262638542,1
5.262736792,0
5.262838625,1
5.262936708,0
5.263038583,1
5.263136792,0
5.263238583,1
5.263336875,0
5.263438625,1
5.263536958,0
5.263638708,1
5.263736958,0
5.263838667,1
5.263937042,0
5.264038833,1
5.264137083,0
5.264238875,1
5.264337125,0
5.264438958,1
5.264537208,0
5.264638958,1
5.264737250,0
5.264839042,1
5.264937292,0
5.265039042,1
5.265137375,0
