Time [s],Channel 0,Channel 1,Channel 2,Channel 3
9.214963583,0,1,0,1
9.215581125,0,1,1,1
9.215603583,0,1,1,0
9.215628083,0,0,1,0
9.243764125,1,0,1,0
9.244411958,1,0,1,1
9.244433792,1,1,1,1
9.244483708,1,1,0,1
9.264963708,0,1,0,1
9.265517167,0,1,0,0
9.265534125,0,0,0,0
9.265589958,0,0,1,0
9.293764292,1,0,1,0
9.294392708,1,0,0,0
9.294425333,1,0,0,1
9.294439708,1,1,0,1
9.314963875,0,1,0,1
9.315598833,0,1,1,1
9.315630458,0,1,1,0
9.315640500,0,0,1,0
9.343764458,1,0,1,0
9.344338917,1,0,1,1
9.344345792,1,1,1,1
9.344401542,1,1,0,1
9.364964042,0,1,0,1
9.365544042,0,1,0,0
9.365546542,0,0,0,0
9.365607667,0,0,1,0
9.393764625,1,0,1,0
9.394352333,1,0,1,1
9.394353833,1,1,1,1
9.394410375,1,1,0,1
9.414964208,0,1,0,1
9.415516333,0,1,1,1
9.415552750,0,0,1,1
9.415557500,0,0,1,0
9.443764792,1,0,1,0
9.444419208,1,0,0,0
9.444458375,1,1,0,0
9.444465667,1,1,0,1
9.464964375,0,1,0,1
9.465525125,0,1,1,1
9.465558958,0,0,1,1
9.465570917,0,0,1,0
9.493764917,1,0,1,0
9.494364375,1,1,1,0
9.494379167,1,1,1,1
9.494428042,1,1,0,1
9.514964542,0,1,0,1
9.515565208,0,0,0,1
9.515584375,0,0,0,0
9.515634167,0,0,1,0
9.543765083,1,0,1,0
9.544436875,1,0,0,0
9.544470792,1,1,0,0
9.544492583,1,1,0,1
9.564964708,0,1,0,1
9.565542792,0,1,1,1
9.565571375,0,0,1,1
9.565597792,0,0,1,0
9.593765250,1,0,1,0
9.594406125,1,0,1,1
9.594445708,1,0,0,1
9.594476958,1,1,0,1
9.614964875,0,1,0,1
9.615511542,0,1,0,0
9.615551625,0,1,1,0
9.615577625,0,0,1,0
9.643765417,1,0,1,0
9.644354375,1,0,0,0
9.644383083,1,1,0,0
9.644419542,1,1,0,1
9.664965042,0,1,0,1
9.665624667,0,1,0,0
9.665660667,0,1,1,0
9.665684000,0,0,1,0
9.693765583,1,0,1,0
9.694363208,1,0,0,0
9.694389292,1,1,0,0
9.694432958,1,1,0,1
9.714965208,0,1,0,1
9.715590208,0,0,0,1
9.715638125,0,0,0,0
9.715669500,0,0,1,0
9.743765750,1,0,1,0
9.744372042,1,0,0,0
9.744395500,1,1,0,0
9.744446458,1,1,0,1
9.764965333,0,1,0,1
9.765599000,0,0,0,1
9.765651583,0,0,0,0
9.765678333,0,0,1,0
9.793765875,1,0,1,0
9.794359708,1,0,1,1
9.794380875,1,0,0,1
9.794401708,1,1,0,1
9.814965500,0,1,0,1
9.815564833,0,1,0,0
9.815587000,0,1,1,0
9.815602458,0,0,1,0
9.843766042,1,0,1,0
9.844373167,1,0,1,1
9.844389708,1,0,0,1
9.844407958,1,1,0,1
9.864965667,0,1,0,1
9.865595833,0,1,1,1
9.865608667,0,0,1,1
9.865678458,0,0,1,0
9.893766250,1,0,1,0
9.894386583,1,0,1,1
9.894398542,1,0,0,1
9.894414125,1,1,0,1
9.914965833,0,1,0,1
9.915592000,0,1,0,0
9.915604542,0,1,1,0
9.915614917,0,0,1,0
9.943766417,1,0,1,0
9.944400042,1,0,1,1
9.944407375,1,0,0,1
9.944420333,1,1,0,1
9.964966000,0,1,0,1
9.965605167,0,1,0,0
9.965613500,0,1,1,0
9.965621125,0,0,1,0
9.993766542,1,0,1,0
9.994413458,1,0,1,1
9.994416208,1,0,0,1
9.994426542,1,1,0,1
10.014966167,0,1,0,1
10.015527750,0,0,0,1
10.015618625,0,0,0,0
10.015622375,0,0,1,0
10.043766708,1,0,1,0
10.044425042,1,0,0,0
10.044426958,1,0,0,1
10.044432833,1,1,0,1
10.064966333,0,1,0,1
10.065531292,0,1,1,1
10.065532167,0,1,1,0
10.065533708,0,0,1,0
10.093766875,1,0,1,0
10.094334000,1,0,0,0
10.094339125,1,1,0,0
10.094343417,1,1,0,1
10.114966500,0,1,0,1
10.115639750,0,0,0,1
10.115640292,0,0,1,1
10.115645500,0,0,1,0
10.143767042,1,0,1,0
10.144442708,1,0,0,0
10.144445208,1,1,0,0
10.144453833,1,1,0,1
10.164966625,0,1,0,1
10.165645958,0,0,0,1
10.165648833,0,0,1,1
10.165658917,0,0,1,0
10.193767208,1,0,1,0
10.194367375,1,0,1,1
10.194451375,1,1,1,1
10.194451542,1,0,0,1
10.194451583,1,1,0,1
10.214966833,0,1,0,1
10.215652208,0,0,0,1
10.215657667,0,0,1,1
10.215672375,0,0,1,0
10.243767375,1,0,1,0
10.244457583,1,1,1,0
10.244460375,1,1,0,0
10.244480667,1,1,0,1
10.264966958,0,1,0,1
10.265558542,0,0,0,1
10.265566625,0,0,1,1
10.265585958,0,0,1,0
10.293767542,1,0,1,0
10.294363917,1,1,1,0
10.294369333,1,1,0,0
10.294394250,1,1,0,1
10.314967125,0,1,0,1
10.315564750,0,0,0,1
10.315575500,0,0,1,1
10.315599375,0,0,1,0
10.343767708,1,0,1,0
10.344370208,1,1,1,0
10.344378208,1,1,0,0
10.344407667,1,1,0,1
10.364967292,0,1,0,1
10.365612833,0,1,0,0
10.365670833,0,0,0,0
10.365684208,0,0,1,0
10.393767833,1,0,1,0
10.394421125,1,0,1,1
10.394476250,1,1,1,1
10.394486875,1,1,0,1
10.414967458,0,1,0,1
10.415526125,0,1,0,0
10.415577208,0,0,0,0
10.415593125,0,0,1,0
10.443768042,1,0,1,0
10.444336958,1,0,1,1
10.444382625,1,1,1,1
10.444395875,1,1,0,1
10.464967625,0,1,0,1
10.465601958,0,1,1,1
10.465639708,0,1,1,0
10.465683250,0,0,1,0
10.493768167,1,0,1,0
10.494407167,1,0,0,0
10.494448042,1,0,0,1
10.494488667,1,1,0,1
10.514967792,0,1,0,1
10.515510667,0,1,1,1
10.515552958,0,1,1,0
10.515589625,0,0,1,0
10.543768375,1,0,1,0
10.544361292,1,0,1,1
10.544395083,1,1,1,1
10.544413542,1,1,0,1
10.564967958,0,1,0,1
10.565570958,0,1,0,0
10.565595833,0,0,0,0
10.565619667,0,0,1,0
10.593768542,1,0,1,0
10.594401292,1,1,1,0
10.594422375,1,1,0,0
10.594479542,1,1,0,1
10.614968125,0,1,0,1
10.615528333,0,1,1,1
10.615579875,0,1,1,0
10.615602042,0,0,1,0
10.643768667,1,0,1,0
10.644431208,1,0,0,0
10.644493042,1,0,0,1
10.644507333,1,1,0,1
10.664968292,0,1,0,1
10.665637292,0,1,1,1
10.665693458,0,1,1,0
10.665708125,0,0,1,0
10.693768833,1,0,1,0
10.694339875,1,0,0,0
10.694401583,1,0,0,1
10.694413708,1,1,0,1
10.714968458,0,1,0,1
10.715611292,0,1,0,0
10.715614458,0,0,0,0
10.715646125,0,0,1,0
10.743769000,1,0,1,0
10.744419958,1,1,1,0
10.744448875,1,1,0,0
10.744515250,1,1,0,1
10.764968625,0,1,0,1
10.765554792,0,1,1,1
10.765620667,0,0,1,1
10.765624750,0,0,1,0
10.793769167,1,0,1,0
10.794426083,1,1,1,0
10.794433125,1,1,1,1
10.794457708,1,1,0,1
10.814968792,0,1,0,1
10.815528792,0,0,0,1
10.815533792,0,0,0,0
10.815563667,0,0,1,0
10.843769333,1,0,1,0
10.844366375,1,0,0,0
10.844432333,1,1,0,0
10.844446583,1,1,0,1
10.864968958,0,1,0,1
10.865633125,0,0,0,1
10.865651625,0,0,0,0
10.865672667,0,0,1,0
10.893769500,1,0,1,0
10.894338833,1,1,1,0
10.894355458,1,1,1,1
10.894375208,1,1,0,1
10.914969125,0,1,0,1
10.915639333,0,0,0,1
10.915665083,0,0,0,0
10.915681542,0,0,1,0
10.943769625,1,0,1,0
10.944444750,1,1,1,0
10.944473417,1,1,1,1
10.944484208,1,1,0,1
10.964969292,0,1,0,1
10.965545625,0,0,0,1
10.965578667,0,0,0,0
10.965590167,0,0,1,0
10.993769792,1,0,1,0
10.994450917,1,1,1,0
10.994486917,1,1,1,1
10.994493042,1,1,0,1
11.014969458,0,1,0,1
11.015551625,0,0,0,1
11.015592083,0,0,0,0
11.015599000,0,0,1,0
11.043769958,1,0,1,0
11.044457125,1,1,1,0
11.044500333,1,1,1,1
11.044501875,1,1,0,1
11.064969625,0,1,0,1
11.065557792,0,0,0,1
11.065605500,0,0,0,0
11.065607833,0,0,1,0
11.093770125,1,0,1,0
11.094410542,1,0,0,0
11.094413958,1,0,0,1
11.094463417,1,1,0,1
11.114969750,0,1,0,1
11.115519417,0,1,0,0
11.115520208,0,1,1,0
11.115564042,0,0,1,0
11.143770292,1,0,1,0
11.144369500,1,1,1,0
11.144419375,1,1,0,0
11.144427333,1,1,0,1
11.164969958,0,1,0,1
11.165625458,0,1,1,1
11.165632417,0,1,1,0
11.165670375,0,0,1,0
11.193770458,1,0,1,0
11.194375667,1,1,1,0
11.194428208,1,1,0,0
11.194440833,1,1,0,1
11.214970083,0,1,0,1
11.215634250,0,1,1,1
11.215645833,0,1,1,0
11.215676625,0,0,1,0
11.243770625,1,0,1,0
11.244381875,1,1,1,0
11.244437042,1,1,0,0
11.244454250,1,1,0,1
11.264970250,0,1,0,1
11.265559125,0,1,0,0
11.265582667,0,0,0,0
11.265647792,0,0,1,0
11.293770792,1,0,1,0
11.294446000,1,0,0,0
11.294467708,1,0,0,1
11.294488250,1,1,0,1
11.314970458,0,1,0,1
11.315552125,0,1,1,1
11.315572542,0,1,1,0
11.315588875,0,0,1,0
11.343770958,1,0,1,0
11.344454708,1,0,0,0
11.344481083,1,0,0,1
11.344494500,1,1,0,1
11.364970583,0,1,0,1
11.365565583,0,1,1,1
11.365586000,0,1,1,0
11.365595083,0,0,1,0
11.393771042,1,0,1,0
11.394363667,1,0,0,0
11.394394333,1,0,0,1
11.394400542,1,1,0,1
11.414970792,0,1,0,1
11.415574375,0,1,1,1
11.415599458,0,1,1,0
11.415601292,0,0,1,0
11.443771292,1,0,1,0
11.444372500,1,0,0,0
11.444406750,1,1,0,0
11.444407792,1,1,0,1
11.464970917,0,1,0,1
11.465583250,0,1,1,1
11.465607500,0,0,1,1
11.465612875,0,0,1,0
11.493771458,1,0,1,0
11.494381333,1,0,0,0
11.494412917,1,1,0,0
11.494421250,1,1,0,1
11.514971083,0,1,0,1
11.515613750,0,0,0,1
11.515626333,0,0,0,0
11.515692000,0,0,1,0
11.543771625,1,0,1,0
11.544390167,1,0,0,0
11.544419083,1,1,0,0
11.564971250,0,1,0,0
11.565601250,0,1,1,0
11.565619958,0,0,1,0
11.565641250,0,0,1,1
11.593771750,1,0,1,1
11.594425333,1,1,1,1
11.594498875,1,1,0,1
11.614971417,0,1,0,1
11.615526333,0,0,0,1
11.615548792,0,0,0,0
11.615605167,0,0,1,0
11.643771917,1,0,1,0
11.644412500,1,0,0,0
